food,category,country,region,year,exports,imports,production
Food,Category,Country,Region,Year,Exports MetricTon,Imports MetricTon,Production MetricTon
Grapefruit,CITRUS,Italy,EUROPE,1981,2000,45000,5000
Grapefruit,CITRUS,Spain,EUROPE,1981,5000,0,9000
Grapefruit,CITRUS,Cuba,MIDDLE_AMERICA,1981,51000,0,84000
Grapefruit,CITRUS,Mexico,MIDDLE_AMERICA,1981,10000,0,163000
Grapefruit,CITRUS,Cyprus,MIDDLE_EAST,1981,64000,0,94000
Grapefruit,CITRUS,Egypt,MIDDLE_EAST,1981,1000,0,2000
Grapefruit,CITRUS,Gaza Strip,MIDDLE_EAST,1981,7000,0,19000
Grapefruit,CITRUS,Israel,MIDDLE_EAST,1981,226000,0,480000
Grapefruit,CITRUS,Morocco,MIDDLE_EAST,1981,2000,0,11000
Grapefruit,CITRUS,Turkey,MIDDLE_EAST,1981,11000,0,17000
Grapefruit,CITRUS,Australia,OCEANIA,1981,1000,0,30000
Grapefruit,CITRUS,United States,UNITED_STATES,1981,295000,4000,2503000
Lemons & Limes,CITRUS,Greece,EUROPE,1981,106000,0,180000
Lemons & Limes,CITRUS,Spain,EUROPE,1981,240000,0,336000
Lemons & Limes,CITRUS,Mexico,MIDDLE_AMERICA,1981,0,0,2000
Lemons & Limes,CITRUS,Cyprus,MIDDLE_EAST,1981,29000,0,35000
Lemons & Limes,CITRUS,Gaza Strip,MIDDLE_EAST,1981,10000,0,12000
Lemons & Limes,CITRUS,Israel,MIDDLE_EAST,1981,25000,0,41000
Lemons & Limes,CITRUS,Lebanon,MIDDLE_EAST,1981,36000,0,50000
Lemons & Limes,CITRUS,Morocco,MIDDLE_EAST,1981,0,0,2000
Lemons & Limes,CITRUS,Turkey,MIDDLE_EAST,1981,111000,0,210000
Lemons & Limes,CITRUS,Australia,OCEANIA,1981,1000,0,48000
Lemons & Limes,CITRUS,Chile,SOUTH_AMERICA,1981,6000,0,63000
Lemons & Limes,CITRUS,United States,UNITED_STATES,1981,179000,0,1079000
Oranges,CITRUS,Greece,EUROPE,1981,159000,0,527000
Oranges,CITRUS,Spain,EUROPE,1981,747000,0,1699000
Oranges,CITRUS,Cuba,MIDDLE_AMERICA,1981,135000,0,258000
Oranges,CITRUS,Mexico,MIDDLE_AMERICA,1981,8000,0,1600000
Oranges,CITRUS,Cyprus,MIDDLE_EAST,1981,92000,0,136000
Oranges,CITRUS,Egypt,MIDDLE_EAST,1981,138000,0,921000
Oranges,CITRUS,Gaza Strip,MIDDLE_EAST,1981,128000,0,148000
Oranges,CITRUS,Israel,MIDDLE_EAST,1981,529000,0,756000
Oranges,CITRUS,Lebanon,MIDDLE_EAST,1981,115000,0,205000
Oranges,CITRUS,Morocco,MIDDLE_EAST,1981,417000,0,695000
Oranges,CITRUS,Turkey,MIDDLE_EAST,1981,41000,0,695000
Oranges,CITRUS,Australia,OCEANIA,1981,26000,0,426000
Oranges,CITRUS,Chile,SOUTH_AMERICA,1981,0,0,49000
Oranges,CITRUS,Uruguay,SOUTH_AMERICA,1981,19000,0,58000
Oranges,CITRUS,South Africa,SUB_SAHARAN,1981,363000,0,565000
Oranges,CITRUS,United States,UNITED_STATES,1981,418000,8000,9661000
Tangerines & Mandarins,CITRUS,Japan,EAST_ASIA,1981,20000,0,3194000
Tangerines & Mandarins,CITRUS,Greece,EUROPE,1981,4000,0,34000
Tangerines & Mandarins,CITRUS,Italy,EUROPE,1981,4000,0,320000
Tangerines & Mandarins,CITRUS,Spain,EUROPE,1981,625000,0,906000
Tangerines & Mandarins,CITRUS,Cuba,MIDDLE_AMERICA,1981,5000,0,30000
Tangerines & Mandarins,CITRUS,Mexico,MIDDLE_AMERICA,1981,12000,0,120000
Tangerines & Mandarins,CITRUS,Egypt,MIDDLE_EAST,1981,0,0,70000
Tangerines & Mandarins,CITRUS,Israel,MIDDLE_EAST,1981,17000,0,56000
Tangerines & Mandarins,CITRUS,Morocco,MIDDLE_EAST,1981,199000,0,280000
Tangerines & Mandarins,CITRUS,Turkey,MIDDLE_EAST,1981,49000,0,167000
Tangerines & Mandarins,CITRUS,Australia,OCEANIA,1981,7000,0,31000
Tangerines & Mandarins,CITRUS,Brazil,SOUTH_AMERICA,1981,5000,0,469000
Tangerines & Mandarins,CITRUS,United States,UNITED_STATES,1981,16000,13000,417000
Butter,DAIRY,Canada,ARCTIC_AMERICA,1981,37,20,134
Butter,DAIRY,Japan,EAST_ASIA,1981,10,15,64
Butter,DAIRY,Austria,EUROPE,1981,4,3,43
Butter,DAIRY,Belgium,EUROPE,1981,191,182,101
Butter,DAIRY,Czechoslovakia,EUROPE,1981,3,0,138
Butter,DAIRY,Denmark,EUROPE,1981,78,9,121
Butter,DAIRY,Finland,EUROPE,1981,19,8,70
Butter,DAIRY,France,EUROPE,1981,226,102,624
Butter,DAIRY,German,EUROPE,1981,338,182,822
Butter,DAIRY,Greece,EUROPE,1981,1,5,6
Butter,DAIRY,Hungary,EUROPE,1981,8,0,32
Butter,DAIRY,Ireland,EUROPE,1981,101,8,140
Butter,DAIRY,Italy,EUROPE,1981,1,51,75
Butter,DAIRY,Netherlands,EUROPE,1981,317,164,216
Butter,DAIRY,Norway,EUROPE,1981,7,2,25
Butter,DAIRY,Poland,EUROPE,1981,49,52,265
Butter,DAIRY,Portugal,EUROPE,1981,2,7,6
Butter,DAIRY,Romania,EUROPE,1981,18,1,38
Butter,DAIRY,Spain,EUROPE,1981,7,10,16
Butter,DAIRY,Sweden,EUROPE,1981,17,2,70
Butter,DAIRY,Switzerland,EUROPE,1981,5,19,32
Butter,DAIRY,United Kingdom,EUROPE,1981,153,228,216
Butter,DAIRY,Yugoslavia,EUROPE,1981,1,4,15
Butter,DAIRY,Mexico,MIDDLE_AMERICA,1981,0,0,17
Butter,DAIRY,Israel,MIDDLE_EAST,1981,0,0,4
Butter,DAIRY,Australia,OCEANIA,1981,22,11,76
Butter,DAIRY,New Zealand,OCEANIA,1981,322,115,248
Butter,DAIRY,Russia,RUSSIA,1981,15,151,1403
Butter,DAIRY,Argentina,SOUTH_AMERICA,1981,14,9,37
Butter,DAIRY,Brazil,SOUTH_AMERICA,1981,5,0,70
Butter,DAIRY,Chile,SOUTH_AMERICA,1981,0,5,4
Butter,DAIRY,Peru,SOUTH_AMERICA,1981,3,15,4
Butter,DAIRY,Venezuela,SOUTH_AMERICA,1981,0,7,6
Butter,DAIRY,India,SOUTH_ASIA,1981,0,17,650
